site;treatment;plot;filename;datetime;Exp_Flux;Exp_R2;Exp_FluxCV;Lin_Flux;Lin_R2;Lin_FluxCV;Type_IV;RAWCO2_IV;RAWH2O_IV;RAWCO2REF_IV;RAWH2OREF_IV;
elev4100;tt2;5;a4170-2608-h51r;8/26/15 15:34;2.95657;0.914513;4.0197;2.95657;0.914514;4.01968;2;3286236;3777072;1977402;1794079;
elev4100;tt2;4;a4170-2608-h41r;8/26/15 15:17;4.32463;0.982553;2.0408;2.894;0.976369;2.55878;2;3289680;3776720;1973384;1794186;
elev4100;tt2;3;a4170-2608-h31r;8/26/15 14:31;0.88309;0.962547;3.13521;0.88309;0.962547;3.13521;2;3298367;3776872;1972653;1794478;
elev4100;tt2;2;a4170-2608-h21r;8/26/15 14:04;12.7944;0.997169;1.87945;12.1451;0.997127;1.89725;2;3269749;3776915;1968695;1794492;
elev4100;tt2;1;a4170-2608-h11r1;8/26/15 13:04;5.60776;0.990982;2.03269;5.60776;0.990983;2.03268;2;3281051;3777053;1957833;1794566;
elev4100;c;1;a4170-2608-h1c1r;8/26/15 13:13;3.76594;0.994168;1.89368;3.07696;0.99263;2.02896;2;3291349;3777212;1964852;1794582;
elev4100;c;2;a4170-2608-h2cr;8/26/15 14:13;6.03251;0.997163;1.94709;6.03251;0.997163;1.94708;2;3289843;3777223;1968943;1794520;
elev4100;c;3;a4170-2608-h3cr;8/26/15 14:22;6.20809;0.99754;1.83139;5.3135;0.996534;1.91547;2;3290700;3776438;1964423;1794211;
elev4100;c;4;a4170-2608-h4cr;8/26/15 14:58;3.50883;0.997418;1.8143;3.11114;0.996776;1.86365;2;3291936;3776590;1967089;1794090;
elev4100;c;5;a4170-2608-h5cr;8/26/15 15:53;3.36071;0.993036;2.1269;3.33447;0.993034;2.13267;2;3290764;3776779;1977210;1794393;
elev3000;c;1;a3000_22_8_C7A8-1;8/22/15 11:20;11.3492;0.999643;1.55677;8.23671;0.996438;1.63591;2;3227892;3776002;1953288;1794568;
elev3000;c;4;a3000_22_8_C7A6;8/22/15 11:09;11.4066;0.999718;1.55726;10.0201;0.999202;1.5804;2;3244680;3776527;1946038;1794507;
elev3000;c;3;a3000_22_8_C7A4;8/22/15 10:57;14.5953;0.999373;1.56596;11.7129;0.997155;1.66079;2;3247006;3776374;1942590;1794760;
elev3000;c;2;a3000_22_8_C7A2;8/22/15 10:42;11.4066;0.999698;1.55883;9.65353;0.998792;1.59703;2;3242062;3777111;1949181;1794934;
elev3000;c;2;a3000_22_8_C7A2;8/22/15 10:45;7.01507;0.999165;1.57549;6.30669;0.998359;1.61294;2;3222563;3776904;1953383;1794894;
elev3000;c;5;a3000_22_8_C7A10;8/22/15 11:33;8.99352;0.999698;1.5526;6.82598;0.996584;1.62623;2;3247354;3775552;1954707;1794520;
elev3000;otc;2;a3000_22_8_C7A14;8/22/15 12:04;10.5572;0.999724;1.55901;9.69064;0.999469;1.57066;2;3246386;3775314;1950152;1794160;
elev3000;otc;1;a3000_22_8_C7A12;8/22/15 11:48;8.34213;0.999698;1.55503;6.41757;0.996779;1.63047;2;3250883;3775996;1950528;1794608;
