datetime	tstart	tfinish	type	group	site	treatment	block	temp.C	pres.kPA	PAR	NEE	Rsqd
11.08.2016 15:39	10	140	resp	inge	elev3500	tt2	2	19,45	65,64	2,79	-15,51	0,99
11.08.2016 15:53	10	100	resp	inge	elev3500	tt2	3	19,07	65,67	0,47	-22,63	0,99
11.08.2016 15:25	10	120	resp	inge	elev3500	tt2	4	21,11	65,66	3,26	-11,9	0,99
11.08.2016 12:45	10	140	resp	inge	elev3500	otc	1	28,61	65,97	5,34	-11,01	1
11.08.2016 12:37	10	90	resp	inge	elev3500	otc	5	28,61	65,97	5,48	-2,64	0,92
11.08.2016 12:12	10	90	photo	inge	elev3500	c	5	28,61	65,97	2036,85	2,35	0,96
11.08.2016 12:20	10	100	photo	inge	elev3500	tt0	5	28,61	65,97	2285,50	-6,21	0,98
11.08.2016 12:27	30	95	photo	inge	elev3500	tt1	5	28,61	65,97	1165,85	0,82	0,47
11.08.2016 14:07	10	90	photo	inge	elev3500	c	7	26,3	65,67	788,38	-2,76	0,94
11.08.2016 13:52	40	110	photo	inge	elev3500	otc	6	28,41	65,7	766,10	-0,89	0,71
11.08.2016 14:00	50	110	photo	inge	elev3500	otc	7	26,61	65,67	1007,01	4,9	0,98
11.08.2016 12:16	10	120	resp	inge	elev3500	c	5	28,61	65,97	8,39	-8,37	0,98
11.08.2016 12:23	10	150	resp	inge	elev3500	tt0	5	28,61	65,97	9,44	-22,08	0,99
11.08.2016 12:30	10	130	resp	inge	elev3500	tt1	5	28,61	65,97	6,23	-6,46	0,97
11.08.2016 13:06	20	120	resp	inge	elev3500	c	2	28,61	65,97	9,57	-4,12	0,96
11.08.2016 14:10	20	120	resp	inge	elev3500	c	7	26,55	65,67	5,23	-2,88	0,96
11.08.2016 13:55	10	90	resp	inge	elev3500	otc	6	27,69	65,7	4,99	-12,71	0,98
11.08.2016 14:03	10	100	resp	inge	elev3500	otc	7	26,89	65,67	4,47	-4,43	0,98
11.08.2016 12:56	20	80	photo	inge	elev3500	tt0	2	28,61	65,97	2715,76	-0,48	0,09
11.08.2016 13:10	10	70	photo	inge	elev3500	tt0	6	28,61	65,97	2220,18	2,11	0,91
11.08.2016 14:14	55	115	photo	inge	elev3500	tt0	7	25,84	65,66	2585,06	1,92	0,83
11.08.2016 13:13	40	100	photo	inge	elev3500	tt0	6	28,61	65,97	642,62	-7,25	0,96
11.08.2016 13:30	10	100	photo	inge	elev3500	tt1	6	30,16	65,87	2680,83	-0,28	0,06
11.08.2016 13:20	1	60	photo	inge	elev3500	tt2	5	28,99	65,97	2564,62	-3,1	0,91
11.08.2016 13:40	100	160	photo	inge	elev3500	tt2	6	31,01	65,76	2381,33	1,97	0,66
