datetime	tstart	tfinish	type	group	site	treatment	block	CO2.amb	temp.C	pres.kPA	wav	PAR	NEE_lm	NEE_exp	rsqd	sigma	aic.lm	aic.nlm
12.08.2016 08:54	40	110	photo	inge	elev3850	c	7	307.557687686825	20.611	62.81	24.9478873239437	867.628450704225	-1.18815042192501	20.3398850974875	0.917975567278545	0.899088011160889	161.963790509689	185.104299155135
12.08.2016 08:47	10	80	photo	inge	elev3850	otc	7	307.557687686825	20.611	62.81	25.070	466.544507042254	-1.93065906641224	-1.75763718427682	0.953210734321196	0.963282117707344	188.478167024748	194.621523993598
12.08.2016 11:25	90	150	photo	inge	elev3850	c	2	310.626571094212	21.612	62.76	29.8327868852459	1862.62672131148	2.32189247991462	0.516470905507812	0.851845790602838	3.63703260613191	244.961591600572	323.757901997634
12.08.2016 11:32	20	80	photo	inge	elev3850	tt1	2	311.858846674547	22.9900491803279	62.804262295082	28.1885245901639	1174.88196721311	-13.1180057115084	17.2895629233233	0.981986753024488	4.90072184891663	319.285179583627	358.947198753856
12.08.2016 11:18	20	110	photo	inge	elev3850	tt2	1	308.912266206818	20.111	62.7869230769231	25.4747252747253	1104.9843956044	-7.27916845274017	-6.20710083070705	0.867162657201888	8.12537091449424	629.878608379613	629.456709882082
12.08.2016 11:39	10	100	photo	inge	elev3850	tt2	2	312.979337293038	23.8108021978022	62.7528571428571	27.7549450549451	1814.00648351648	-15.0471657390422	-14.5098769895087	0.986958272949621	4.70938883858883	541.865074190541	532.369593724402
12.08.2016 10:40	10	90	photo	inge	elev3850	otc	1	310.701826794833	19.3721111111111	62.8017283950617	22.4160493827161	824.33037037037	3.18397931141646	2.24064605438185	0.963945374334806	2.77759609186938	293.347827818328	389.577098705486
12.08.2016 10:25	10	80	photo	inge	elev3850	otc	5	310.718273750801	19.4307183098592	62.810985915493	26.2591549295775	843.941690140845	2.65251319857302	2.40570007538116	0.909618250905227	1.82211734062191	283.160694088536	282.583848945923
12.08.2016 10:32	90	150	photo	inge	elev3850	tt0	5	312.435602726114	20.9395245901639	62.787868852459	25.0934426229508	1119.37245901639	1.76920356307721	0.6075509081857	0.856102819087467	2.34712988397094	208.785653757616	272.076866709618
12.08.2016 10:48	30	110	photo	inge	elev3850	tt1	1	310.480346864564	19.109	62.79	22.7530864197531	538.025925925926	-3.41096245643638	5.07578362226658	0.860777530833264	3.66584372389549	423.047088721759	433.417782388276
12.08.2016 08:57	10	100	resp	inge	elev3850	c	7	307.557687686825	20.611	62.81	24.0934065934066	2.50736263736264	-4.88269443580448	-6.98154269596199	0.98644335023325	1.29542104684227	337.775236599723	302.621012515251
12.08.2016 08:50	10	100	resp	inge	elev3850	otc	7	307.557687686825	20.611	62.81	24.7714285714286	2.43615384615385	-8.60036096254191	-7.82640318812763	0.993757250043487	2.82198589019219	369.694440173144	441.212716485078
12.08.2016 11:28	10	100	resp	inge	elev3850	c	2	311.881832471778	22.8767362637363	62.7756043956044	29.5648351648352	1.8178021978022	-10.0095107405395	-9.37684987388682	0.987321981151742	3.43455449023297	464.764448153931	476.180169741684
12.08.2016 11:35	10	120	resp	inge	elev3850	tt1	2	311.920088496774	23.076963963964	62.8103603603604	27.3711711711712	4.92441441441441	-34.6809981542009	-34.8945365605954	0.96397821322555	21.5926360832748	1003.66491113138	983.082832951325
12.08.2016 11:21	10	100	resp	inge	elev3850	tt2	1	309.748397637776	20.8147032967033	62.7676923076923	27.4956043956044	4.0778021978022	-27.7919760679806	-16.9272150803618	0.990551144259551	10.3412916834226	621.939090708998	672.382015814933
12.08.2016 11:41	10	100	resp	inge	elev3850	tt2	2	313.878672696955	24.613	62.7420879120879	28.5868131868132	4.52516483516484	-30.9199194259216	-23.8501816431639	0.989235707730556	11.7159998165948	655.947052484981	694.598308133929
12.08.2016 10:43	10	100	resp	inge	elev3850	otc	1	310.478257941303	19.061	62.7801098901099	22.3208791208791	3.55263736263736	-6.01960027370074	-8.37972877898227	0.974551180812853	2.23173952254638	433.080473631767	399.443322433195
12.08.2016 10:29	10	100	resp	inge	elev3850	otc	5	311.949127067824	20.5285824175824	62.7979120879121	25.9153846153846	3.97538461538462	-7.90480489241814	-9.06229281393643	0.976121462862399	3.11557714569708	478.254669369071	458.830010362405
12.08.2016 10:35	10	100	resp	inge	elev3850	tt0	5	312.512513463404	21.112	62.8092307692308	24.8505494505495	4.78263736263736	-7.41578623948164	-8.88504150506227	0.973998118690316	3.11978682912801	474.712093803395	459.070356801708
12.08.2016 10:51	10	100	resp	inge	elev3850	tt1	1	309.712889105882	18.108	62.73	21.3703296703297	3.67065934065934	-10.2071174284289	-8.90310640599441	0.984319776519127	5.05927668898493	483.586024373706	545.126032235352
12.08.2016 10:19	90	140	photo	inge	elev3850	tt1	5	311.91624865459	20.611	62.8221568627451	26.7117647058824	1069.21156862745	2.43939606809823	0.62057996377036	0.880633069969153	2.97792264839627	179.065072280228	249.954158169077
12.08.2016 10:11	10	100	photo	inge	elev3850	tt2	5	313.127283797721	21.7713406593407	62.8263736263736	26.8450549450549	1268.90692307692	-5.73192301883376	-5.35276434054605	0.980961049552793	2.35189166016634	399.555206961489	408.777398534069
12.08.2016 09:24	10	70	photo	inge	elev3850	c	6	312.860406440046	20.611	62.81	25.4081967213115	789.206557377049	-2.58111005146157	-5.0752692628567	0.879307628101198	1.70377015475935	242.365378662633	234.275599495298
